Age;Group_1_m;Group_2_m;Group_3_m;Group_4_m;Group_1_f;Group_2_f;Group_3_f;Group_4_f
15;0.92;0.92;0.92;0.93;0.74;0.75;0.75;0.75
16;0.92;0.99;1.01;1.03;0.94;1.01;1.11;1.13
17;0.92;1.05;1.12;1.15;1.11;1.27;1.55;1.59
18;0.92;1.11;1.23;1.27;1.26;1.52;2.03;2.1
19;0.92;1.17;1.35;1.41;1.38;1.75;2.53;2.64
20;0.92;1.22;1.48;1.55;1.45;1.93;3.03;3.19
21;0.92;1.28;1.61;1.71;1.49;2.07;3.48;3.69
20;0.92;1.33;1.76;1.88;1.49;2.16;3.84;4.1
23;0.92;1.39;1.92;2.07;1.49;2.24;4.07;4.38
24;0.92;1.43;2.09;2.27;1.49;2.32;4.27;4.62
25;0.92;1.48;2.26;2.46;1.49;2.4;4.44;4.84
26;0.92;1.52;2.42;2.66;1.49;2.47;4.59;5.04
27;0.92;1.56;2.6;2.87;1.49;2.53;4.71;5.2
28;0.92;1.6;2.79;3.1;1.49;2.58;4.8;5.33
29;0.92;1.63;2.97;3.32;1.49;2.63;4.85;5.42
30;0.92;1.65;3.16;3.56;1.49;2.67;4.86;5.48
31;0.92;1.67;3.37;3.83;1.49;2.71;4.86;5.52
32;0.95;1.74;3.61;4.15;1.49;2.73;4.86;5.57
33;1.04;1.92;3.89;4.5;1.49;2.74;4.86;5.63
34;1.14;2.11;4.16;4.86;1.49;2.75;4.86;5.69
35;1.24;2.29;4.4;5.21;1.49;2.75;4.86;5.75
36;1.35;2.48;4.64;5.56;1.49;2.75;4.86;5.82
37;1.46;2.66;4.88;5.92;1.52;2.76;5.07;6.15
38;1.59;2.86;5.18;6.36;1.65;2.97;5.37;6.59
39;1.75;3.11;5.57;6.93;1.78;3.16;5.67;7.05
40;1.94;3.41;6.08;7.66;1.92;3.36;6;7.55
41;2.18;3.76;6.7;8.54;2.09;3.61;6.44;8.21
42;2.46;4.17;7.44;9.59;2.31;3.91;6.99;9.01
43;2.8;4.65;8.3;10.82;2.56;4.25;7.59;9.89
44;3.18;5.19;9.23;12.15;2.82;4.59;8.17;10.76
45;3.62;5.78;10.21;13.56;3.09;4.93;8.7;11.55
46;4.14;6.48;11.26;15.06;3.4;5.31;9.23;12.35
47;4.77;7.32;12.42;16.72;3.78;5.79;9.83;13.23
48;5.52;8.31;13.7;18.53;4.26;6.41;10.56;14.28
49;6.41;9.48;15.1;20.48;4.91;7.26;11.56;15.68
50;7.44;10.8;16.62;22.58;5.75;8.36;12.86;17.47
51;8.6;12.28;18.29;24.85;6.84;9.77;14.55;19.77
52;9.91;13.93;20.19;27.4;8.18;11.51;16.68;22.63
53;11.34;15.72;22.31;30.18;9.78;13.56;19.23;26.02
54;12.88;17.62;24.59;33.13;11.67;15.95;22.27;30
55;14.49;19.57;26.93;36.06;13.87;18.74;25.79;34.53
56;16.53;22.07;29.91;39.76;16.37;21.86;29.62;39.37
57;18.8;24.84;32.97;43.42;19.13;25.29;33.56;44.2
58;21.35;27.95;36.02;46.95;22.06;28.89;37.23;48.52
59;24.22;31.45;38.98;50.2;25.09;32.58;40.38;52
60;27.44;35.37;41.81;53.12;28.15;36.29;42.89;54.5
61;31.06;39.77;44.55;55.78;32.34;41.41;46.39;58.09
62;35.1;44.68;47.34;58.36;36.72;46.73;49.52;61.04
63;39.63;50.16;50.42;61.11;41.5;52.52;52.78;63.98
64;44.69;56.27;57.04;67.95;46.69;58.78;59.59;70.98
65;50.35;63.06;64.5;75.47;52.31;65.51;67.01;78.4
