AcquisitionCostGroups;CostVariables;Rates
AK_1_N;alpha_z;0.04
AK_1_S;alpha_z;0.02
AK_1_H;alpha_z;0.00
AK_1_PA11;alpha_z;0.04
AK_1_PA21;alpha_z;0.04
AK_1_PA10;alpha_z;0.00
AK_1_PA20;alpha_z;0.00
AK_2;alpha_z;0.04
AK_3;alpha;0.01
AK_4_P11;alpha_1;0.025
AK_4_P12;alpha_1;0.02
AK_4_P2;alpha_2;0.01
AK_4_P3;alpha_2;0.01
AK_4_P2;alpha_3;0.01
AK_4_P3;alpha_3;0.01
AK_5;alpha;0.0035
AK_6_PKR1/2003;alpha_z;0.04
AK_6_PKR2/2003;alpha_z;0.01
AK_7;alpha_z;0.035
AK_8_Courtagestufe0_EB;alpha;0.00
AK_8_Courtagestufe1_EB;alpha;0.02
AK_8_Courtagestufe2_EB;alpha;0.035
AK_8_Courtagestufe0;alpha;0.00
AK_8_Courtagestufe1;alpha;0.03
AK_8_Courtagestufe2_n1;alpha;0.06
AK_8_Courtagestufe2_n2;alpha;0.065
AK_8_Courtagestufe2_n3;alpha;0.07

