AGE;q_xm;q_xw;trend_m;trend_w
0;0.000113;0.000059;0.03303985;0.03303985
1;0.000113;0.000059;0.03303985;0.03303985
2;0.000113;0.000059;0.03303985;0.03303985
3;0.000113;0.000059;0.03303985;0.03303985
4;0.000113;0.000059;0.03303985;0.03303985
5;0.000113;0.000059;0.03303985;0.03303985
6;0.000113;0.000059;0.03303985;0.03303985
7;0.000113;0.000059;0.03303985;0.03303985
8;0.000113;0.000059;0.03303985;0.03303985
9;0.000113;0.000059;0.03303985;0.03303985
10;0.000113;0.000059;0.03303985;0.03303985
11;0.000113;0.000059;0.03303985;0.03303985
12;0.000113;0.000059;0.03303985;0.03303985
13;0.000114;0.000059;0.03303985;0.03303985
14;0.000133;0.000059;0.03303985;0.03303985
15;0.000175;0.000068;0.03303985;0.03303985
16;0.000235;0.000085;0.03303985;0.03303985
17;0.000309;0.00011;0.03303985;0.03303985
18;0.000385;0.00011;0.03303985;0.03303985
19;0.000447;0.00011;0.03303985;0.03303985
20;0.000511;0.000111;0.03303985;0.03303985
21;0.000617;0.000111;0.03303985;0.03303985
22;0.000777;0.000111;0.03303985;0.03303985
23;0.000786;0.000112;0.03301381;0.03298816
24;0.000795;0.000112;0.03138903;0.03287161
25;0.000804;0.000112;0.0300949;0.03278166
26;0.000813;0.000112;0.02911046;0.03268512
27;0.000814;0.000113;0.02839963;0.03252693
28;0.000832;0.000118;0.02793402;0.03226875
29;0.000863;0.000143;0.0276564;0.03193675
30;0.000894;0.000202;0.02750067;0.03152501
31;0.000934;0.000297;0.02740031;0.03094365
32;0.000994;0.000357;0.02730804;0.03014668
33;0.001063;0.000386;0.02719391;0.02914996
34;0.001109;0.000404;0.02706035;0.02801054
35;0.001112;0.000425;0.02695565;0.02682974
36;0.001115;0.000449;0.02691229;0.02567995
37;0.001118;0.000475;0.02690961;0.02464377
38;0.001121;0.000507;0.02690928;0.023773
39;0.001145;0.000553;0.02688675;0.0230565
40;0.001198;0.000622;0.02684974;0.02248214
41;0.00128;0.000713;0.02682919;0.0220781
42;0.001394;0.00079;0.02681278;0.02185396
43;0.001521;0.000857;0.02679602;0.02178902
44;0.001676;0.000929;0.02675173;0.0218591
45;0.001864;0.001018;0.02666774;0.02202052
46;0.002039;0.001117;0.02654651;0.02225316
47;0.002201;0.001177;0.02638875;0.02252168
48;0.002356;0.001202;0.02620949;0.02280602
