tariff_name;Life_Table_csv_name;Disability_Table_csv_name
HA/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
A/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
HA/07/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
ARR/07/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
PA20/07/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
ARR/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
HARR/07/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
HARR/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
SARR/07/2004;DAV2004R_1O.csv;DAV1997I_1O.csv
SARR/2004;DAV2004R_1O.csv;
TARR/07/2004;DAV2004R_1O.csv;
TARR/2004;DAV2004R_1O.csv;
ARZ/07/2004;DAV2004R_1O.csv;
ARZ/2004;DAV1994R_Grundtafel.csv;
HARZ/07/2004;DAV2004R_1O.csv;
HARZ/2004;DAV2004R_1O.csv;
SARZ/07/2004;DAV2004R_1O.csv;
SARZ/2004;DAV2004R_1O.csv;
TARZ/07/2004;DAV2004R_1O.csv;
TARZ/2004;DAV2004R_1O.csv;
APRR/07/2004;DAV2004R_1O.csv;
APRR/2004;DAV2004R_1O.csv;
HAPRR/07/2004;DAV2004R_1O.csv;
SAPRR/07/2004;DAV2004R_1O.csv;
SAPRR/2004;DAV2004R_1O.csv;
TAPRR/07/2004;DAV2004R_1O.csv;
ARRA/07/2004;DAV2004R_1O.csv;
ARRA/2004;DAV2004R_1O.csv;
HARRA/07/2004;DAV2004R_1O.csv;
HARRA/2004;DAV2004R_1O.csv;
SARRA/07/2004;DAV2004R_1O.csv;
TARRA/2004;DAV2004R_1O.csv;
LR/2004;DAV2004R_1O.csv;
HLR/2004;DAV2004R_1O.csv;
LR/07/2004;DAV2004R_1O.csv;
LZ/07/2004;DAV2004R_1O.csv;
LZ/2004;DAV2004R_1O.csv;
HLZ/2004;DAV2004R_1O.csv;
HLZ/07/2004;DAV2004R_1O.csv;
SLZ/07/2004;DAV2004R_1O.csv;
SLZ/2004;DAV2004R_1O.csv;
LV/07/2004;DAV2004R_1O.csv;
LV/2004;DAV2004R_1O.csv;
H/2004;DAV2004R_1O.csv;
Hg/2004;DAV2004R_1O.csv;
H-K/2004;DAV2004R_1O.csv;
AL/2005;DAV2004R_1O.csv;
HAL/2005;DAV2004R_1O.csv;
A/2005;DAV2004R_1O.csv;
HA/2005;DAV2004R_1O.csv;
ARR/2005;DAV2004R_1O.csv;
HARR/2005;DAV2004R_1O.csv;
SARR/2005;DAV2004R_1O.csv;
TARR/2005;DAV2004R_1O.csv;
SARR-K50/2005;DAV2004R_1O.csv;
ARRL/2005;DAV2004R_1O.csv;
HARRL/2005;DAV2004R_1O.csv;
SARRL/2005;DAV2004R_1O.csv;
ARRL-K/2005;DAV2004R_1O.csv;
HARRL-K/2005;DAV2004R_1O.csv;
SARRL-K/2005;DAV2004R_1O.csv;
TARRL-K/2005;DAV2004R_1O.csv;
SARRL-K50/2005;DAV2004R_1O.csv;
ARZ/2005;DAV2004R_1O.csv;
HARZ/2005;DAV2004R_1O.csv;
SARZ/2005;DAV2004R_1O.csv;
TARZ/2005;DAV2004R_1O.csv;
AZ-K/2005;DAV2004R_1O.csv;
SAZ-K/2005;DAV2004R_1O.csv;
HAZ-K/2005;DAV2004R_1O.csv;
TAZ-K/2005;DAV2004R_1O.csv;
APRR/2005;DAV2004R_1O.csv;
SAPRR/2005;DAV2004R_1O.csv;
ARRA/2005;DAV2004R_1O.csv;
HARRA/2005;DAV2004R_1O.csv;
TARRA/2005;DAV2004R_1O.csv;
LR/2005;DAV2004R_1O.csv;
SLR/2005;DAV2004R_1O.csv;
SLRW1/2005;DAV2004R_1O.csv;
LZ/2005;DAV2004R_1O.csv;
HLZ/2005;DAV2004R_1O.csv;
SLZ/2005;DAV2004R_1O.csv;
HLZF/2005;DAV2004R_1O.csv;
LV/2005;DAV2004R_1O.csv;
H/2005;DAV2004R_1O.csv;
Hg/2005;DAV2004R_1O.csv;
H-K/2005;DAV2004R_1O.csv;
ADZ/2004;DAV2004R_1O.csv;
ADZ/2002;DAV2004R_1O.csv;
HADZ/2002;DAV2004R_1O.csv;
A/96;DAV2004R_1O.csv;
HA/96;DAV2004R_1O.csv;
AR/96;DAV2004R_1O.csv;
HAR/96;DAV2004R_1O.csv;
SAR/96;DAV2004R_1O.csv;
ARZ/96;DAV2004R_1O.csv;
HARZ/96;DAV2004R_1O.csv;
SARZ/96;DAV2004R_1O.csv;
ARR/96;DAV2004R_1O.csv;
ARR/ERL/96;DAV2004R_1O.csv;
ARR/ERL/RFZ/96;DAV2004R_1O.csv;
HARR/ERL/96;DAV2004R_1O.csv;
HARR/ERL/RFZ/96;DAV2004R_1O.csv;
SARR/ERL/96;DAV2004R_1O.csv;
SARR/ERL/RFZ/96;DAV2004R_1O.csv;
HARR/96;DAV2004R_1O.csv;
SARR/96;DAV2004R_1O.csv;
APRR/96;DAV2004R_1O.csv;
HAPRR/96;DAV2004R_1O.csv;
SAPRR/96;DAV2004R_1O.csv;
AV/96;DAV2004R_1O.csv;
HAV/96;DAV2004R_1O.csv;
SAV/96;DAV2004R_1O.csv;
L/96;DAV2004R_1O.csv;
HL/96;DAV2004R_1O.csv;
SL/96;DAV2004R_1O.csv;
LZ/96;DAV2004R_1O.csv;
HLZ/96;DAV2004R_1O.csv;
SLZ/96;DAV2004R_1O.csv;
LR/96;DAV2004R_1O.csv;
HLR/96;DAV2004R_1O.csv;
SLR/96;DAV2004R_1O.csv;
LRA/96;DAV2004R_1O.csv;
LV/96;DAV2004R_1O.csv;
HLV/96;DAV2004R_1O.csv;
SLV/96;DAV2004R_1O.csv;
H/96;DAV2004R_1O.csv;
Hg/96;DAV2004R_1O.csv;
HA/2000;DAV2004R_1O.csv;
AR/2000;DAV2004R_1O.csv;
SAR/2000;DAV2004R_1O.csv;
HAR/2000;DAV2004R_1O.csv;
TAR/2000;DAV2004R_1O.csv;
ARR/2000;DAV2004R_1O.csv;
HARR/2000;DAV2004R_1O.csv;
SARR/2000;DAV2004R_1O.csv;
TARR/2000;DAV2004R_1O.csv;
ARZ/2000;DAV2004R_1O.csv;
HARZ/2000;DAV2004R_1O.csv;
SARZ/2000;DAV2004R_1O.csv;
TARZ/2000;DAV2004R_1O.csv;
APRR/2000;DAV2004R_1O.csv;
HAPRR/2000;DAV2004R_1O.csv;
SAPRR/2000;DAV2004R_1O.csv;
TAPRR/2000;DAV2004R_1O.csv;
AV/2000;DAV2004R_1O.csv;
TAV/2000;DAV2004R_1O.csv;
ARR/ERL/2000;DAV2004R_1O.csv;
HARR/ERL/2000;DAV2004R_1O.csv;
SARR/ERL/2000;DAV2004R_1O.csv;
TARR/ERL/2000;DAV2004R_1O.csv;
ARRERLRFZ/2000;DAV2004R_1O.csv;
HARRERLRFZ/2000;DAV2004R_1O.csv;
SARRERLRFZ/2000;DAV2004R_1O.csv;
TARRERLRFZ/2000;DAV2004R_1O.csv;
HL/2000;DAV2004R_1O.csv;
LR/2000;DAV2004R_1O.csv;
HLR/2000;DAV2004R_1O.csv;
SLR/2000;DAV2004R_1O.csv;
LZ/2000;DAV2004R_1O.csv;
HLZ/2000;DAV2004R_1O.csv;
SLZ/2000;DAV2004R_1O.csv;
LV/2000;DAV2004R_1O.csv;
HLV/2000;DAV2004R_1O.csv;
SLV/2000;DAV2004R_1O.csv;
LRA/2000;DAV2004R_1O.csv;
H/2000;DAV2004R_1O.csv;
Hg/2000;DAV2004R_1O.csv;
LE/2000;DAV2004R_1O.csv;
HLE/2000;DAV2004R_1O.csv;
TLE/2000;DAV2004R_1O.csv;
SLE/2000;DAV2004R_1O.csv;
LEEB/2000;DAV2004R_1O.csv;
LEV/2000;DAV2004R_1O.csv;
TLEV/2000;DAV2004R_1O.csv;
LEM4/2000;DAV2004R_1O.csv;
TLEM4/2000;DAV2004R_1O.csv;
LEM5/2000;DAV2004R_1O.csv;
TLEM5/2000;DAV2004R_1O.csv;
LEMB/2000;DAV2004R_1O.csv;
LEMV4/2000;DAV2004R_1O.csv;
LEF/2000;DAV2004R_1O.csv;
TLEF/2000;DAV2004R_1O.csv;
LEH/2000;DAV2004R_1O.csv;
TLEH/2000;DAV2004R_1O.csv;
LET/2000;DAV2004R_1O.csv;
TLET/2000;DAV2004R_1O.csv;
LEVB/2000;DAV2004R_1O.csv;
LEM4VB/2000;DAV2004R_1O.csv;
LEM5VB/2000;DAV2004R_1O.csv;
LE/98;DAV2004R_1O.csv;
HLE/98;DAV2004R_1O.csv;
SLE/98;DAV2004R_1O.csv;
LEEB/98;DAV2004R_1O.csv;
LEV/98;DAV2004R_1O.csv;
HLEV/98;DAV2004R_1O.csv;
LEM1/98;DAV2004R_1O.csv;
LEM2/98;DAV2004R_1O.csv;
LEM4/98;DAV2004R_1O.csv;
HLEM4/98;DAV2004R_1O.csv;
LEM5/98;DAV2004R_1O.csv;
LEMV/98;DAV2004R_1O.csv;
LEMV4/98;DAV2004R_1O.csv;
LEMV5/98;DAV2004R_1O.csv;
LEF/98;DAV2004R_1O.csv;
LET/98;DAV2004R_1O.csv;
HLET/98;DAV2004R_1O.csv;
LETEB/98;DAV2004R_1O.csv;
LEH/98;DAV2004R_1O.csv;
LEFPRAESENT/2002;DAV2004R_1O.csv;
TLEFPRAESENT2002;DAV2004R_1O.csv;
LE/2004;DAV2004R_1O.csv;
HLE/2004;DAV2004R_1O.csv;
TLE/2004;DAV2004R_1O.csv;
SLE/2004;DAV2004R_1O.csv;
LEEB/2004;DAV2004R_1O.csv;
LEV/2004;DAV2004R_1O.csv;
TLEV/2004;DAV2004R_1O.csv;
LEM5/2004;DAV2004R_1O.csv;
TLEM5/2004;DAV2004R_1O.csv;
LET/2004;DAV2004R_1O.csv;
TLET/2004;DAV2004R_1O.csv;
LEF/2004;DAV2004R_1O.csv;
TLEF/2004;DAV2004R_1O.csv;
LEFPRAESENT/2004;DAV2004R_1O.csv;
TLEFPRAESENT2004;DAV2004R_1O.csv;
LEVB/2004;DAV2004R_1O.csv;
PA11/2004;DAV2004R_1O.csv;
PA10/2004;DAV2004R_1O.csv;
LE/2005;DAV2004R_1O.csv;
HLE/2005;DAV2004R_1O.csv;
SLE/2005;DAV2004R_1O.csv;
TLE/2005;DAV2004R_1O.csv;
LEEB/2005;DAV2004R_1O.csv;
LEV/2005;DAV2004R_1O.csv;
LEM5/2005;DAV2004R_1O.csv;
LET/2005;DAV2004R_1O.csv;
TLET/2005;DAV2004R_1O.csv;
LETEB/2005;DAV2004R_1O.csv;
LEF/2005;DAV2004R_1O.csv;
TLEF/2005;DAV2004R_1O.csv;
LEFPRAESENT/2005;DAV2004R_1O.csv;
TLEFPRAESENT2005;DAV2004R_1O.csv;
LEVB/2005;DAV2004R_1O.csv;
PA11/2005;DAV2004R_1O.csv;
PA10/2005;DAV2004R_1O.csv;
LE/2007;DAV2004R_1O.csv;
SLE/2007;DAV2004R_1O.csv;
TLE/2007;DAV2004R_1O.csv;
HLE/2007;DAV2004R_1O.csv;
SLES/2007;DAV2004R_1O.csv;
LET/2007;DAV2004R_1O.csv;
LEF/2007;DAV2004R_1O.csv;
LEVB/2007;DAV2004R_1O.csv;
LE/2008;DAV2004R_1O.csv;
HLE/2008;DAV2004R_1O.csv;
SLE/2008;DAV2004R_1O.csv;
TLE/2008;DAV2004R_1O.csv;
LET/2008;DAV2004R_1O.csv;
SLET/2008;DAV2004R_1O.csv;
LEF/2008;DAV2004R_1O.csv;
HPKR/2006;DAV2004R_1O.csv;
NPKR/2006;DAV2004R_1O.csv;
SPKR/2006;DAV2004R_1O.csv;
SPKR-K100/2006;DAV2004R_1O.csv;
SPKR-K50/2006;DAV2004R_1O.csv;
PKR/2008;DAV2004R_1O.csv;
SPKR/2008;DAV2004R_1O.csv;
HPKR/2008;DAV2004R_1O.csv;
AL/72008;DAV2004R_1O.csv;
ARR/72008;DAV2004R_1O.csv;
ARR/2009;DAV2004R_1O.csv;
HARR/2009;DAV2004R_1O.csv;
SARR/2009;DAV2004R_1O.csv;
TARR/2009;DAV2004R_1O.csv;
AL/2010;DAV2004R_1O.csv;
HAL/2010;DAV2004R_1O.csv;
ARRL/2010;DAV2004R_1O.csv;
HARRL/2010;DAV2004R_1O.csv;
ARR-ST/72008;DAV2004R_1O.csv;
ARRL/72008;DAV2004R_1O.csv;
ARZ/72008;DAV2004R_1O.csv;
ARZ-ST/72008;DAV2004R_1O.csv;
HAL/72008;DAV2004R_1O.csv;
HA/72008;DAV2004R_1O.csv;
HARR-ST/72008;DAV2004R_1O.csv;
SARR/72008;DAV2004R_1O.csv;
SARR-ST/72008;DAV2004R_1O.csv;
TARR/72008;DAV2004R_1O.csv;
TARR-ST/72008;DAV2004R_1O.csv;
HARR/72008;DAV2004R_1O.csv;
SARZ/72008;DAV2004R_1O.csv;
SARZ-ST/72008;DAV2004R_1O.csv;
TARZ/72008;DAV2004R_1O.csv;
TARZ-ST/72008;DAV2004R_1O.csv;
HARZ/72008;DAV2004R_1O.csv;
HARZ-ST/72008;DAV2004R_1O.csv;
SARRL/72008;DAV2004R_1O.csv;
HARRL/72008;DAV2004R_1O.csv;
SLZ/72008;DAV2004R_1O.csv;
HLZ/72008;DAV2004R_1O.csv;
HLZF/72008;DAV2004R_1O.csv;
SLR/72008;DAV2004R_1O.csv;
HLR/72008;DAV2004R_1O.csv;
SLRW1/72008;DAV2004R_1O.csv;
SPKR-K100/72008;DAV2004R_1O.csv;
SPKR-K50/72008;DAV2004R_1O.csv;
LR/72008;DAV2004R_1O.csv;
LZ/72008;DAV2004R_1O.csv;
AL/2007;DAV2004R_1O.csv;
ARR/2007;DAV2004R_1O.csv;
ARRL/2007;DAV2004R_1O.csv;
ARZ/2007;DAV2004R_1O.csv;
APRR/2007;DAV2004R_1O.csv;
LR/2007;DAV2004R_1O.csv;
LZ/2007;DAV2004R_1O.csv;
HA/2007;DAV2004R_1O.csv;
SLRW1/2007;DAV2004R_1O.csv;
HARR/2007;DAV2004R_1O.csv;
SARR/2007;DAV2004R_1O.csv;
TARR/2007;DAV2004R_1O.csv;
HARRL/2007;DAV2004R_1O.csv;
SARRL/2007;DAV2004R_1O.csv;
SARZ/2007;DAV2004R_1O.csv;
HARZ/2007;DAV2004R_1O.csv;
TARZ/2007;DAV2004R_1O.csv;
HLZ/2007;DAV2004R_1O.csv;
SLZ/2007;DAV2004R_1O.csv;
SPKR-K100/2007;DAV2004R_1O.csv;
SPKR-K50/2007;DAV2004R_1O.csv;
HLZF1/2012;DAV2004R_1O.csv;
HLZF2/2012;DAV2004R_1O.csv;
HLRF1/2012;DAV2004R_1O.csv;
HLRLF/2012;DAV2004R_1O.csv;
HLRLF1/2012;DAV2004R_1O.csv;
HLRLF2/2012;DAV2004R_1O.csv;
PKR/72008;DAV2004R_1O.csv;
SPKR/72008;DAV2004R_1O.csv;
HPKR/72008;DAV2004R_1O.csv;
PKR/2007;DAV2004R_1O.csv;
SPKR/2007;DAV2004R_1O.csv;
HPKR/2007;DAV2004R_1O.csv;
AL/2008;DAV2004R_1O.csv;
ARR/2008;DAV2004R_1O.csv;
ARR-ST/2008;DAV2004R_1O.csv;
ARRL/2008;DAV2004R_1O.csv;
ARZ/2008;DAV2004R_1O.csv;
ARZ-ST/2008;DAV2004R_1O.csv;
LR/2008;DAV2004R_1O.csv;
LZ/2008;DAV2004R_1O.csv;
HARR-ST/2008;DAV2004R_1O.csv;
HARR/2008;DAV2004R_1O.csv;
SARR/2008;DAV2004R_1O.csv;
SARR-K50/2008;DAV2004R_1O.csv;
SARR-ST/2008;DAV2004R_1O.csv;
TARR/2008;DAV2004R_1O.csv;
