AcquisitionCostGroups;alpha_z;alpha;alpha_1;alpha_2;alpha_3
AK_1_N;0.04;0;0;0;0
AK_1_S;0.02;0;0;0;0
AK_1_H;0;0;0;0;0
AK_1_PA11;0.04;0;0;0;0
AK_1_PA21;0.04;0;0;0;0
AK_1_PA10;0.00;0;0;0;0
AK_1_PA20;0.00;0;0;0;0
AK_2;0.04;0;0;0;0
AK_3;0;0.01;0;0;0
AK_4_P11;0;0;0.025;0;0
AK_4_P12;0;0;0.02;0;0
AK_4_P2;0;0;0;0.01;0.01
AK_4_P3;0;0;0;0.01;0.01
AK_5;0;0.0035;0;0;0
AK_6_PKR1/2003;0.04;0;0;0;0
AK_6_PKR2/2003;0.01;0;0;0;0
AK_7;0.035;0;0;0;0
AK_8_Courtagestufe0_SP;0;0.00;0;0
AK_8_Courtagestufe1_SP;0;0.02;0;0
AK_8_Courtagestufe2_SP;0;0.035;0;0
AK_8_Courtagestufe0;0;0.00;0;0
AK_8_Courtagestufe1;0;0.03;0;0
AK_8_Courtagestufe2_n1;0;0.06;0;0
AK_8_Courtagestufe2_n2;0;0.065;0;0
AK_8_Courtagestufe2_n3;0;0.07;0;0

