AdministrationCostGroups;beta;beta_SP;gamma_11;gamma_12;gamma_1;gamma_2;gamma_3
LVK_1;0.06;0.015;0;0.005;0;0.0175;0.01
LVK_2;0.0045;0;0;0;0;0;0.015;0
LVK_3;0.04;0.015;0;0;0.005;0.0175;0.01
LVK_4;0;0.005;0;0;0;0.015;0
LVK_5;0.06;0.015;0;0;0;0.00125;0.002
LVK_6;0.06;0.01;0;0;0;0.00125;0.002
LVK_7;0.04;0;0;0.005;0;0.0175;0.01
LVK_8;0.045;0;0;0.005;0;0.01;0.01
LVK_9;0.04;0.015;0;0;0.005;0.015;0.01
LVK_10;0.0165;0;0;0.005;0;0.01;0.01
LVK_11_1;0.03;0.0125;0;0;0.02;0.015;0
LVK_11_2;0.03;0.0125;0;0;0.01;0.015;0
LVK_11_3;0.03;0.0125;0;0;0.005;0.015;0
LVK_12;0.04;0;0;0.005;0;0.01;0.01
LVK_13;0.03;0.015;0;0.005;0;0.0175;0.01
LVK_14;0.06;0;0;0.005;0;0.0175;0.01
LVK_15;0.06;0.005;0;0.005;0;0.015;0.01
LVK_16;0.045;0.005;0;0.005;0;0.015;0.01
LVK_17;0;0;0;0;0.01;0.02;0.02
