Formula1;Formula2;Formula3;Formula4;Formula5;Formula6;Formula7;Formula8
1;1;1;0;1;1;0;1
0;1;1;1;0;1;0;0
0;0;0;0;1;1;0;1
0;0;0;0;1;1;0;1
0;0;1;0;1;1;1;1
0;0;1;0;1;1;1;1
0;0;1;1;1;1;1;1
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
1;;;;;;;
1;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
1;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
0;;;;;;;
