Tariff;BEB;BJB;NEB;NJB;Dka;DKb;DKc
HA/2004;Formula1;Formula2;Formula3;Formula4;;;
A/2004;Formula2;Formula3;Formula4;Formula5;;;
HA/07/2004;Formula3;Formula4;Formula5;Formula6;;;
ARR/07/2004;Formula4;Formula5;Formula6;Formula7;;;
PA20/07/2004;Formula5;Formula6;Formula7;Formula8;;;
ARR/2004;Formula6;Formula7;Formula8;Formula9;;;
HARR/07/2004;Formula7;Formula8;Formula9;Formula10;;;
HARR/2004;;;;;;;
SARR/07/2004;;;;;;;
SARR/2004;;;;;;;
TARR/07/2004;;;;;;;
TARR/2004;;;;;;;
ARZ/07/2004;;;;;;;
ARZ/2004;;;;;;;
HARZ/07/2004;;;;;;;
HARZ/2004;;;;;;;
SARZ/07/2004;;;;;;;
SARZ/2004;;;;;;;
TARZ/07/2004;;Formula9;;;;;
TARZ/2004;;;;;;;
APRR/07/2004;;;;;;;
APRR/2004;;;;;;;
HAPRR/07/2004;;;;;;;
SAPRR/07/2004;;;;;;;
SAPRR/2004;;;;;;;
TAPRR/07/2004;;;;;;;
ARRA/07/2004;;;;;;;
ARRA/2004;;;;;;;
HARRA/07/2004;;;;;;;
HARRA/2004;;;;;;;
SARRA/07/2004;;;;;;;
TARRA/2004;;;;;;;
LR/2004;;;;;;;
HLR/2004;;;;;;;
LR/07/2004;;;;;;;
LZ/07/2004;;;;;;;
LZ/2004;;;;;;;
HLZ/2004;;;;;;;
HLZ/07/2004;;;;;;;
SLZ/07/2004;;;;;;;
SLZ/2004;;;;;;;
LV/07/2004;;;;;;;
LV/2004;;;;;;;
H/2004;;;;;;;
Hg/2004;;;;;;;
H-K/2004;;;;;;;
AL/2005;;;;;;;
HAL/2005;;;;;;;
A/2005;;;;;;;
HA/2005;;;;;;;
ARR/2005;;;;;;;
HARR/2005;;;;;;;
SARR/2005;;;;;;;
TARR/2005;;;;;;;
SARR-K50/2005;;;;;;;
ARRL/2005;;;;;;;
HARRL/2005;;;;;;;
SARRL/2005;;;;;;;
ARRL-K/2005;;;;;;;
HARRL-K/2005;;;;;;;
SARRL-K/2005;;;;;;;
TARRL-K/2005;;;;;;;
SARRL-K50/2005;;;;;;;
ARZ/2005;;;;;;;
HARZ/2005;;;;;;;
SARZ/2005;;;;;;;
TARZ/2005;;;;;;;
AZ-K/2005;;;;;;;
SAZ-K/2005;;;;;;;
HAZ-K/2005;;;;;;;
TAZ-K/2005;;;;;;;
APRR/2005;;;;;;;
SAPRR/2005;;;;;;;
ARRA/2005;;;;;;;
HARRA/2005;;;;;;;
TARRA/2005;;;;;;;
LR/2005;;;;;;;
SLR/2005;;;;;;;
SLRW1/2005;;;;;;;
LZ/2005;;;;;;;
HLZ/2005;;;;;;;
SLZ/2005;;;;;;;
HLZF/2005;;;;;;;
LV/2005;;;;;;;
H/2005;;;;;;;
Hg/2005;;;;;;;
H-K/2005;;;;;;;
ADZ/2004;;;;;;;
ADZ/2002;;;;;;;
HADZ/2002;;;;;;;
A/96;;;;;;;
HA/96;;;;;;;
AR/96;;;;;;;
HAR/96;;;;;;;
SAR/96;;;;;;;
ARZ/96;;;;;;;
HARZ/96;;;;;;;
SARZ/96;;;;;;;
ARR/96;;;;;;;
ARR/ERL/96;;;;;;;
ARR/ERL/RFZ/96;;;;;;;
HARR/ERL/96;;;;;;;
HARR/ERL/RFZ/96;;;;;;;
SARR/ERL/96;;;;;;;
SARR/ERL/RFZ/96;;;;;;;
HARR/96;;;;;;;
SARR/96;;;;;;;
APRR/96;;;;;;;
HAPRR/96;;;;;;;
SAPRR/96;;;;;;;
AV/96;;;;;;;
HAV/96;;;;;;;
SAV/96;;;;;;;
L/96;;;;;;;
HL/96;;;;;;;
SL/96;;;;;;;
LZ/96;;;;;;;
HLZ/96;;;;;;;
SLZ/96;;;;;;;
LR/96;;;;;;;
HLR/96;;;;;;;
SLR/96;;;;;;;
LRA/96;;;;;;;
LV/96;;;;;;;
HLV/96;;;;;;;
SLV/96;;;;;;;
H/96;;;;;;;
Hg/96;;;;;;;
HA/2000;;;;;;;
AR/2000;;;;;;;
SAR/2000;;;;;;;
HAR/2000;;;;;;;
TAR/2000;;;;;;;
ARR/2000;;;;;;;
HARR/2000;;;;;;;
SARR/2000;;;;;;;
TARR/2000;;;;;;;
ARZ/2000;;;;;;;
HARZ/2000;;;;;;;
SARZ/2000;;;;;;;
TARZ/2000;;;;;;;
APRR/2000;;;;;;;
HAPRR/2000;;;;;;;
SAPRR/2000;;;;;;;
TAPRR/2000;;;;;;;
AV/2000;;;;;;;
TAV/2000;;;;;;;
ARR/ERL/2000;;;;;;;
HARR/ERL/2000;;;;;;;
SARR/ERL/2000;;;;;;;
TARR/ERL/2000;;;;;;;
ARRERLRFZ/2000;;;;;;;
HARRERLRFZ/2000;;;;;;;
SARRERLRFZ/2000;;;;;;;
TARRERLRFZ/2000;;;;;;;
HL/2000;;;;;;;
LR/2000;;;;;;;
HLR/2000;;;;;;;
SLR/2000;;;;;;;
LZ/2000;;;;;;;
HLZ/2000;;;;;;;
SLZ/2000;;;;;;;
LV/2000;;;;;;;
HLV/2000;;;;;;;
SLV/2000;;;;;;;
LRA/2000;;;;;;;
H/2000;;;;;;;
Hg/2000;;;;;;;
LE/2000;;;;;;;
HLE/2000;;;;;;;
TLE/2000;;;;;;;
SLE/2000;;;;;;;
LEEB/2000;;;;;;;
