time;2001;2002;2003;2004;2005
1;0.03;0.04;0.02;0.0275;0.0275
2;0.03;0.04;0.02;0.0275;0.0275
3;0.03;0.04;0.02;0.0275;0.0275
4;0.03;0.04;0.02;0.0275;0.0275
5;0.03;0.04;0.02;0.0275;0.0275
6;0.03;0.04;0.02;0.0275;0.0275
7;0.03;0.04;0.02;0.0275;0.0275
8;0.03;0.04;0.02;0.0275;0.0275
9;0.03;0.04;0.02;0.0275;0.0275
10;0.03;0.04;0.02;0.0275;0.0275
11;0.03;0.04;0.02;0.0275;0.0275
12;0.03;0.04;0.02;0.0275;0.0275
13;0.03;0.04;0.02;0.0275;0.0275
14;0.03;0.04;0.02;0.0275;0.0275
15;0.03;0.04;0.02;0.0275;0.0275
16;0.03;0.04;0.02;0.0275;0.0275
17;0.03;0.04;0.02;0.0275;0.0275
18;0.03;0.04;0.02;0.0275;0.0275
19;0.03;0.04;0.02;0.0275;0.0275
20;0.03;0.04;0.02;0.0275;0.0275
21;0.03;0.04;0.02;0.0275;0.0275
22;0.03;0.04;0.02;0.0275;0.0275
23;0.03;0.04;0.02;0.0275;0.0275
24;0.03;0.04;0.02;0.0275;0.0275
25;0.03;0.04;0.02;0.0275;0.0275
26;0.03;0.04;0.02;0.0275;0.0275
27;0.03;0.04;0.02;0.0275;0.0275
28;0.03;0.04;0.02;0.0275;0.0275
29;0.03;0.04;0.02;0.0275;0.0275
30;0.03;0.04;0.02;0.0275;0.0275
31;0.03;0.04;0.02;0.0275;0.0275
32;0.03;0.04;0.02;0.0275;0.0275
33;0.03;0.04;0.02;0.0275;0.0275
34;0.03;0.04;0.02;0.0275;0.0275
35;0.03;0.04;0.02;0.0275;0.0275
36;0.03;0.04;0.02;0.0275;0.0275
37;0.03;0.04;0.02;0.0275;0.0275
38;0.03;0.04;0.02;0.0275;0.0275
39;0.03;0.04;0.02;0.0275;0.0275
40;0.03;0.04;0.02;0.0275;0.0275
41;0.03;0.04;0.02;0.0275;0.0275
42;0.03;0.04;0.02;0.0275;0.0275
43;0.03;0.04;0.02;0.0275;0.0275
44;0.03;0.04;0.02;0.0275;0.0275
45;0.03;0.04;0.02;0.0275;0.0275
46;0.03;0.04;0.02;0.0275;0.0275
47;0.03;0.04;0.02;0.0275;0.0275
48;0.03;0.04;0.02;0.0275;0.0275
49;0.03;0.04;0.02;0.0275;0.0275
50;0.03;0.04;0.02;0.0275;0.0275
51;0.03;0.04;0.02;0.0275;0.0275
